iter	Passed	Remaining
0	9	1809
1	17	1776
2	24	1631
3	32	1615
4	40	1593
5	49	1585
6	57	1573
7	65	1579
8	74	1581
9	82	1573
10	90	1555
11	98	1550
12	106	1532
13	115	1529
14	122	1513
15	131	1511
16	139	1505
17	148	1503
18	156	1487
19	164	1482
20	172	1468
21	180	1463
22	188	1449
23	196	1442
24	204	1430
25	212	1424
26	220	1411
27	230	1412
28	238	1403
29	246	1398
30	254	1387
31	263	1382
32	271	1374
33	280	1367
34	288	1361
35	298	1357
36	305	1347
37	314	1342
38	322	1331
39	331	1326
40	339	1315
41	347	1309
42	355	1298
43	364	1291
44	371	1279
45	380	1274
46	388	1263
47	398	1263
48	410	1265
49	418	1255
50	427	1248
51	435	1240
52	445	1234
53	453	1225
54	462	1218
55	470	1209
56	479	1203
57	487	1194
58	496	1187
59	505	1179
60	513	1170
61	522	1163
62	530	1153
63	538	1145
64	547	1136
65	556	1129
66	563	1119
67	572	1111
68	580	1101
69	589	1094
70	596	1083
71	605	1075
72	612	1065
73	621	1057
74	628	1048
75	637	1039
76	645	1031
77	654	1023
78	663	1016
79	675	1013
80	684	1005
81	694	998
82	703	991
83	711	982
84	720	974
85	730	968
86	742	964
87	752	957
88	762	950
89	773	945
90	785	940
91	797	935
92	808	929
93	819	923
94	829	916
95	840	910
96	851	904
97	860	895
98	871	889
99	881	881
100	892	874
101	902	866
102	911	858
103	922	851
104	933	844
105	942	835
106	951	827
107	960	818
108	972	811
109	982	804
110	992	795
111	1002	787
112	1010	777
113	1025	773
114	1034	764
115	1042	755
116	1051	745
117	1059	736
118	1068	727
119	1076	717
120	1085	708
121	1093	698
122	1102	689
123	1110	680
124	1119	671
125	1127	661
126	1136	653
127	1145	644
128	1154	635
129	1163	626
130	1171	617
131	1182	609
132	1191	600
133	1200	591
134	1208	581
135	1217	572
136	1226	563
137	1234	554
138	1243	545
139	1251	536
140	1260	527
141	1267	517
142	1276	508
143	1284	499
144	1293	490
145	1301	481
146	1310	472
147	1318	463
148	1327	454
149	1335	445
150	1344	436
151	1352	427
152	1360	418
153	1368	408
154	1377	399
155	1385	390
156	1396	382
157	1403	373
158	1412	364
159	1420	355
160	1429	346
161	1436	337
162	1445	328
163	1453	319
164	1462	310
165	1469	301
166	1478	292
167	1486	283
168	1494	274
169	1502	265
170	1511	256
171	1519	247
172	1528	238
173	1535	229
174	1545	220
175	1553	211
176	1562	203
177	1571	194
178	1580	185
179	1592	176
180	1599	167
181	1609	159
182	1619	150
183	1628	141
184	1637	132
185	1646	123
186	1656	115
187	1664	106
188	1673	97
189	1681	88
190	1690	79
191	1699	70
192	1708	61
193	1716	53
194	1725	44
195	1734	35
196	1743	26
197	1751	17
198	1759	8
199	1768	0
